,0
0,-0.02141992512650845
1,-0.021178390449752282
2,-0.018185774775473222
3,-0.015442013037578957
4,-0.016490915845559607
5,-0.020386451569478676
6,-0.0191305815100644
7,-0.017717158457411637
8,-0.019631334717847143
9,-0.02433310445349702
10,-0.027638216362885243
11,-0.028561414482958167
12,-0.024624200573453717
13,-0.01852629706654992
14,-0.01788311312350816
15,-0.017141624729071353
16,-0.019087024356133263
17,-0.02260431705581425
18,-0.019116698233504884
19,-0.020365065291349238
20,-0.0245838021590916
21,-0.02729855362301389
22,-0.029279646613172006
23,-0.025305126948965445
24,-0.018132354212228696
25,-0.015631942383700338
26,-0.0186167428837085
27,-0.021657131188592083
28,-0.02399457138338506
29,-0.020759491344805286
30,-0.018648685176383625
31,-0.021813093796182126
32,-0.020065184031514
33,-0.016476475961413686
34,-0.01741757324923698
35,-0.018714057558033036
36,-0.02287872694788492
37,-0.027139624475806517
38,-0.029091999073662594
39,-0.024736027928665777
40,-0.02168054448494981
41,-0.025452272913941143
42,-0.022882910047996606
43,-0.021069315735125226
44,-0.02384521472986593
45,-0.023443922444498874
46,-0.023952698108482086
47,-0.022220918014157327
48,-0.0226361582192567
49,-0.021591306066622153
50,-0.016475621990496254
51,-0.018055383625719266
52,-0.019278689488927952
53,-0.021822147301020854
54,-0.021037773427404868
55,-0.016115954616656897
56,-0.015707555401343772
57,-0.015836565523016308
58,-0.013225059477809786
59,-0.01770691071881334
60,-0.022783404327653058
61,-0.019194642692100052
62,-0.019977663369775495
63,-0.02370751008605862
64,-0.026866358559171785
65,-0.029157621466231604
66,-0.025424764753324797
67,-0.022722813626026662
68,-0.019562268339200543
69,-0.015503357541664913
70,-0.012390998206053178
71,-0.016768125348348546
72,-0.02213001018695982
73,-0.022549636486950197
74,-0.02336264250675388
75,-0.024371783998312
76,-0.02665702851445378
77,-0.028184021018555754
78,-0.029682635502681163
79,-0.030351356972842653
80,-0.0318565011277897
81,-0.032255907086616985
82,-0.03196903920311117
83,-0.031664640740774644
84,-0.02571207480525193
85,-0.0245149995296472
86,-0.024866504186879496
87,-0.02490657565425101
88,-0.027439668923526693
89,-0.025855104856615827
90,-0.027069642836357967
91,-0.027324409393439157
92,-0.027600868803027326
93,-0.028301087833411044
94,-0.025886159948230972
95,-0.025380171262698765
96,-0.024670972389448636
97,-0.02124871618902957
98,-0.024120517096294807
99,-0.029595481908390325
100,-0.02865935220349062
101,-0.022650639047597888
102,-0.023388106853667243
103,-0.02312754021508458
104,-0.021697901337035416
105,-0.02522016377166193
106,-0.028281166106398834
107,-0.030951144556878706
108,-0.03170290750764736
109,-0.029290968118320205
110,-0.02783152205492335
111,-0.0289374494692358
112,-0.025664403693630607
113,-0.026595325852404497
114,-0.025393024527288758
115,-0.023454881996862405
116,-0.02589963157022288
117,-0.02748662420011656
118,-0.024025072015086465
119,-0.019753541076099536
120,-0.020324447733246705
121,-0.01972000418276885
122,-0.017587248535022245
123,-0.01820464195851889
124,-0.022983821266631947
125,-0.023208073949726644
126,-0.024633504972384958
127,-0.025962135298744384
128,-0.026175892846872342
129,-0.026534619905167738
130,-0.025689357162368136
131,-0.0239563981091104
132,-0.020309818230844125
133,-0.017688607304488034
134,-0.01905351509545635
135,-0.02402397241449364
136,-0.02583119699270813
137,-0.027177300895620593
138,-0.02502622072634928
139,-0.023108591821663305
140,-0.023540820949109663
141,-0.023841191490137307
142,-0.02545983631943212
143,-0.024949711691394108
144,-0.02597279138640794
145,-0.02750418386672592
146,-0.026414600700990123
147,-0.02812495264176455
148,-0.02869961678285093
149,-0.02804294676551674
150,-0.030297099443162015
151,-0.02894210309204293
152,-0.024497785146622108
153,-0.019481651775549468
154,-0.01565015602997502
155,-0.017696574427316463
156,-0.019749788690922275
157,-0.022029830826219003
158,-0.024777484339971505
159,-0.02801408449875582
160,-0.026519242025921423
161,-0.024306974246868233
162,-0.02626007053454371
163,-0.02798877085172636
164,-0.028945539976980912
165,-0.027623464959068245
166,-0.025785586783686077
167,-0.02191244492819723
168,-0.02414972419183715
169,-0.029425647151470644
170,-0.03171289154317161
171,-0.03112299314188911
172,-0.026782376830103368
173,-0.02608141048468244
174,-0.024402394679263847
175,-0.02161779940767926
