,0
307,-0.008597598423928843
308,-0.014617047696300156
309,-0.018109837255044246
310,-0.02097963304538628
311,-0.020429817153575145
312,-0.01763134597841776
313,-0.017691725843586147
314,-0.019692658351252137
315,-0.01818342581967452
316,-0.015273231471846576
317,-0.01812228953661069
318,-0.019545331168902315
319,-0.022283927118546334
320,-0.020115154123554066
321,-0.016515384645969872
322,-0.010355884179095826
323,-0.008197747276317165
324,-0.011359655712384672
325,-0.010676724656787888
326,-0.01346181339743385
327,-0.015869196414059254
328,-0.013661894923083511
329,-0.015640127658653274
330,-0.011197179916673725
331,-0.010756097149293545
332,-0.015895964270395302
333,-0.0161412260732804
334,-0.01760918844719655
335,-0.020373373643023298
336,-0.016213786469146462
337,-0.01873523185459592
338,-0.021168983504115217
339,-0.018654486159913795
340,-0.01589657589026755
341,-0.01333327257019731
342,-0.01716786550776893
343,-0.01121636668973119
344,-0.014264843561906165
345,-0.019307933435629906
346,-0.01657414982592863
347,-0.012499627229840495
348,-0.014371249616921374
349,-0.013707671901776425
350,-0.009605215960638912
351,-0.0063922971808958165
352,-0.006472921409490222
353,-0.0051503349910726635
354,-0.007310818451018119
355,-0.00776732454523608
356,-0.005277674865681393
357,-0.0054681386532160784
358,-0.0067874431469908516
359,-0.011049762486101629
360,-0.016862223683643634
361,-0.012819067457892653
362,-0.012706705874360595
363,-0.014820730070685843
364,-0.009050614716993822
365,-0.009621507261013336
366,-0.009993070943878734
367,-0.015545494078826123
368,-0.014153616155324119
369,-0.013327321363411106
370,-0.014813947995395232
371,-0.007260070479204309
372,-0.00653619424000741
373,-0.009543419691624106
374,-0.011269200381633641
375,-0.00861854979168545
376,-0.0051995176622231225
377,-0.00659046878388266
378,-0.013177126918301663
379,-0.012383987793808214
380,-0.009920655016310995
381,-0.013225555898947784
382,-0.013166571084320722
383,-0.009234492657015076
384,-0.011903459355766437
385,-0.013045382950063984
386,-0.015469542988053883
387,-0.01002020251470749
388,-0.01158486805524485
389,-0.015191187533795775
390,-0.019230541042476523
391,-0.0184612819469122
392,-0.016834759794496508
393,-0.016696423050609775
394,-0.013103287792120444
395,-0.010551662457399212
396,-0.00682950171833834
397,-0.004936845482117665
398,-0.010061814045134931
399,-0.014751400801098595
400,-0.010372125279626053
401,-0.006982577455551348
402,-0.00918439836423333
403,-0.009825934992082935
404,-0.007023033298695599
405,-0.007401637408596781
406,-0.004924574022565642
407,-0.0064288063085785494
408,-0.006574552357661332
409,-0.01179860943166945
410,-0.015987696631374556
411,-0.013594325686593094
412,-0.015585248623278898
413,-0.015729983435614228
414,-0.011963588380922029
415,-0.008747908371404788
416,-0.012406726908012653
417,-0.010397818440258324
418,-0.012375642714840197
419,-0.00891283639992462
420,-0.014711156518005973
421,-0.013147427995224044
422,-0.01350213695428013
423,-0.016293433206288895
424,-0.011147156696557413
425,-0.011391684958882221
426,-0.014031914447204455
427,-0.017269393851670076
428,-0.014903803868485036
429,-0.013795727938580122
430,-0.013000195776274816
431,-0.01302158446470333
432,-0.00991446832848321
433,-0.014401889299441351
434,-0.014323466513031234
435,-0.008221972274756304
436,-0.009467154435084755
437,-0.006030974084379461
438,-0.005754121238003146
439,-0.007104520357710905
440,-0.012817690724284547
441,-0.013524465994989507
442,-0.01840711689595551
443,-0.018980914382870324
444,-0.016660139752371756
445,-0.01062575678536195
446,-0.0091042911442011
447,-0.008844755264415183
448,-0.01654847972689181
449,-0.018422112883425275
450,-0.014237260869327552
451,-0.011167720199775102
452,-0.009913141109163031
453,-0.010292944265497903
454,-0.008469132363442362
455,-0.007181486916963809
456,-0.009204830490535798
457,-0.009825415193692809
458,-0.013733870977339148
459,-0.01072365016564688
460,-0.01320014199367135
461,-0.00922914912237747
462,-0.00861754950494617
463,-0.008833302516097494
464,-0.013230985049173027
465,-0.010229680654282003
466,-0.014558642283834619
467,-0.015635660193996318
468,-0.014281391497376623
469,-0.012637937668179068
470,-0.009898847420360275
471,-0.010761966706712584
472,-0.013859457979331179
473,-0.0085929781934868
474,-0.0130624349202421
475,-0.013206245418720354
476,-0.011860772412893177
477,-0.013192478590116343
478,-0.0107036456200649
479,-0.009093859034972264
480,-0.009147921983355005
481,-0.008149823845543346
482,-0.008647340521609129
483,-0.013089633200356282
484,-0.009074035748169848
485,-0.005186047861252947
486,-0.0052489097542120335
487,-0.01021817601522179
488,-0.01668106334316951
489,-0.01737723964636718
490,-0.01931090865974252
491,-0.019436595806699174
492,-0.011558378999433142
493,-0.010895512848704764
494,-0.014702707320404077
495,-0.007742537488832592
496,-0.005042681949772699
497,-0.007752679004095156
498,-0.010821408901158328
499,-0.014691875823806462
500,-0.01134099860651127
501,-0.013348068812663474
502,-0.013991224512118134
503,-0.01232933776059678
504,-0.01038587301513908
505,-0.012215222466060096
506,-0.00957330659877574
507,-0.016665774404063805
508,-0.017371427517375398
509,-0.01374117391556702
510,-0.01315553902632579
511,-0.00941259125890503
512,-0.012090356493119441
513,-0.016677516310712865
514,-0.015760519145473162
515,-0.010657239498977462
516,-0.007780099125272393
517,-0.011476677867587654
518,-0.010752601178453586
519,-0.00877819113025626
520,-0.005050310119036925
521,-0.00922752567682405
522,-0.015389875090915458
523,-0.016417347832953354
524,-0.00999547930520318
525,-0.012034541165195898
526,-0.008921161114057597
527,-0.0074849497406168026
528,-0.00523022265418894
529,-0.0070783931493072355
530,-0.014930957849009925
531,-0.01627258555304684
532,-0.013430730774708964
533,-0.014788336139208123
534,-0.014624278089168222
535,-0.017726020817297145
536,-0.015882064134743742
537,-0.010332472584648195
538,-0.008300338806125108
539,-0.014424546966352245
540,-0.008088687194543915
541,-0.0062155484534008
542,-0.011655715812741982
543,-0.01616192317764114
544,-0.014770068289312419
545,-0.016559831991785155
546,-0.009494942960421244
547,-0.008611205863941656
548,-0.00966262879529051
549,-0.006836260241396572
550,-0.005897253562332889
551,-0.01201212164253232
552,-0.01680464259940527
553,-0.014256736704654528
554,-0.013639940659922759
555,-0.009722854817352774
556,-0.015036055647604171
557,-0.018073511591789868
558,-0.015881831288559717
559,-0.013931729395221198
560,-0.018732498952316684
561,-0.01589082491188704
562,-0.012297291975333335
563,-0.016641106380435602
564,-0.012972355990788581
565,-0.013193111012368253
566,-0.009571310930276472
567,-0.014053800564101741
568,-0.009915692350070214
569,-0.015708553734849754
570,-0.017583836930960946
571,-0.01950326888555018
572,-0.02079732535235387
573,-0.02205960529811876
574,-0.022866937824532294
575,-0.018929887685656982
576,-0.012103380502330391
577,-0.012556918410171456
578,-0.01686390352599744
579,-0.016623679037763482
580,-0.016603173425916447
581,-0.015470173616372982
582,-0.014996869407166342
583,-0.008747786003090613
584,-0.007386974325810537
585,-0.010226413565682208
586,-0.00966835959115282
587,-0.007704236842741645
588,-0.0067637325934795985
589,-0.011521796544909427
590,-0.006350750705050303
591,-0.005104983403874158
592,-0.0075906731744044345
593,-0.010360797534877954
594,-0.016860963171802103
595,-0.014613266135587758
596,-0.010988940502123717
597,-0.009930284210202898
598,-0.009979655019106196
599,-0.00652585670491215
600,-0.007071201420371969
601,-0.013961967215093464
602,-0.015998797206396104
603,-0.011481353118847798
604,-0.017631294540860005
605,-0.0203381281003144
606,-0.017799152279497507
607,-0.011589787615071597
608,-0.015332616068282184
609,-0.01923859488447283
610,-0.019806610251816282
611,-0.015362423757157326
612,-0.011997017367227344
613,-0.01681722494065224
614,-0.014136782637513102
615,-0.017788536726168182
616,-0.014100098171132043
617,-0.01218327906182585
618,-0.016827748057144834
619,-0.015801348565022456
620,-0.020224689649740613
621,-0.01932560692412534
622,-0.015567492685203068
623,-0.017920569638082515
624,-0.02036021343370027
625,-0.018027666793582087
626,-0.01919395141541821
627,-0.01277440626666408
628,-0.01321282090836299
629,-0.00997084800886718
630,-0.01427318149838287
631,-0.017330199939044357
632,-0.015302651569525823
633,-0.01843962215418924
634,-0.019693199916627626
635,-0.018198734026276402
636,-0.016573537727056865
637,-0.01430412465213096
638,-0.015826250227742124
639,-0.015992673971191303
640,-0.014812094035968783
641,-0.016161677125092064
642,-0.011562940138381517
643,-0.009165195159972186
644,-0.0128114457347696
645,-0.009328560695643882
646,-0.007249659011570889
647,-0.006770155369267801
648,-0.005314093399387348
649,-0.00452263163538276
650,-0.009939034571344766
651,-0.015586104235289892
652,-0.01662044450619825
653,-0.017887808675175476
654,-0.013255958701019952
655,-0.014330444410462566
656,-0.009892192098855241
657,-0.012093544290612318
658,-0.013378970259624338
659,-0.01272265567124093
660,-0.015665659004213132
661,-0.017243112416700082
662,-0.011806395879893303
663,-0.011417768011289662
664,-0.01456049250316502
665,-0.015323975973667463
666,-0.01597393649286475
667,-0.011023951951195711
668,-0.00996428826452326
669,-0.012473130675961406
670,-0.011267499623494076
671,-0.011098571086821267
672,-0.012911441448165839
673,-0.009440260989800681
674,-0.009630321510628845
675,-0.009986707388834181
676,-0.015244228592318287
677,-0.012675210290513945
678,-0.008439329666806328
679,-0.011301021169314016
680,-0.007328031845311624
681,-0.005403262069800251
682,-0.011684691447666156
683,-0.013560602170876058
684,-0.011200837689044703
685,-0.014358616934294756
686,-0.013024970722845919
687,-0.010578274304205867
688,-0.011748149442437667
689,-0.009776011904750354
690,-0.015724501557135204
691,-0.017421868255954858
692,-0.01588658041618028
693,-0.015749450374669984
694,-0.014611269841370072
695,-0.009211421990862008
696,-0.008826588478944809
697,-0.004900816420455837
698,-0.007260060508168743
699,-0.014782755852438725
700,-0.012016687003051717
701,-0.011544760218596364
702,-0.01236680793033516
703,-0.01451265665471943
704,-0.018889044775029996
705,-0.016352246869662745
706,-0.014242829566565293
707,-0.017094611025201323
708,-0.015926103551530183
709,-0.015602047905147765
710,-0.01233759883481899
711,-0.01567611497024799
712,-0.019578537368911863
713,-0.01392208041666105
714,-0.008584401930220071
715,-0.010809661668046552
716,-0.01753080474648327
717,-0.017264674066487774
718,-0.01853284843065152
719,-0.012754414983134756
720,-0.008430834712721236
721,-0.007048112613655688
722,-0.008885899843307121
723,-0.01707110560130439
724,-0.019233616165849537
725,-0.019138214695366793
726,-0.011100392727373662
727,-0.009612641565412654
728,-0.007681320753892867
729,-0.006913214492081145
730,-0.008237747219909329
731,-0.010690565891349712
732,-0.008821126760281583
733,-0.014257942600383499
734,-0.011543978441180486
735,-0.010739836458620738
736,-0.007994006227383272
737,-0.007534331484025852
738,-0.010334070077192925
739,-0.008637826472113261
740,-0.011780804733260503
741,-0.008597568129449272
742,-0.008163763093999807
743,-0.007503091226177365
744,-0.004585740426546552
745,-0.007088509980503574
746,-0.007551416389348484
747,-0.006389358480019741
748,-0.014917625568103856
749,-0.017741501582801526
750,-0.013046405977364593
751,-0.0073823234125010425
752,-0.007349158907567636
753,-0.012797999682432972
754,-0.013534193601021611
755,-0.008238258019503113
756,-0.009793424848684987
757,-0.009623855805833548
758,-0.010282476575063334
759,-0.010251193282302678
760,-0.007475048975322835
761,-0.008983518833431837
762,-0.009798680678656722
763,-0.011410272194149114
764,-0.0082801033102363
765,-0.011095629025348787
766,-0.016489531820818082
767,-0.01719670724495272
768,-0.012088713614453357
769,-0.01626100721362339
770,-0.013582504188864565
771,-0.007061898006303978
772,-0.006690778658131014
773,-0.008708936497848116
774,-0.01391766990258244
775,-0.012191437073258838
776,-0.007603014733921742
777,-0.00981060808587598
778,-0.015546811389934325
